lon,lat,CLASS,geometry,index_right,pop_est,continent,name,iso_a3,gdp_md_est
-15.625,15.375,Des_Line,POINT (-15.625 15.375),51,16296364.0,Africa,Senegal,SEN,23578
-13.625,15.375,Des_Line,POINT (-13.625 15.375),51,16296364.0,Africa,Senegal,SEN,23578
-13.375,15.375,Des_Line,POINT (-13.375 15.375),51,16296364.0,Africa,Senegal,SEN,23578
-13.125,15.375,Des_Line,POINT (-13.125 15.375),51,16296364.0,Africa,Senegal,SEN,23578
-12.875,15.375,Des_Line,POINT (-12.875 15.375),53,4525696.0,Africa,Mauritania,MRT,7600
-12.625,15.375,Des_Line,POINT (-12.625 15.375),53,4525696.0,Africa,Mauritania,MRT,7600
-12.375,15.375,Des_Line,POINT (-12.375 15.375),53,4525696.0,Africa,Mauritania,MRT,7600
-15.375,15.125,Des_Line,POINT (-15.375 15.125),51,16296364.0,Africa,Senegal,SEN,23578
-15.125,15.125,Des_Line,POINT (-15.125 15.125),51,16296364.0,Africa,Senegal,SEN,23578
-14.875,15.125,Des_Line,POINT (-14.875 15.125),51,16296364.0,Africa,Senegal,SEN,23578
-14.625,15.125,Des_Line,POINT (-14.625 15.125),51,16296364.0,Africa,Senegal,SEN,23578
-14.375,15.125,Des_Line,POINT (-14.375 15.125),51,16296364.0,Africa,Senegal,SEN,23578
-14.125,15.125,Des_Line,POINT (-14.125 15.125),51,16296364.0,Africa,Senegal,SEN,23578
-13.875,15.125,Des_Line,POINT (-13.875 15.125),51,16296364.0,Africa,Senegal,SEN,23578
-12.125,15.125,Des_Line,POINT (-12.125 15.125),53,4525696.0,Africa,Mauritania,MRT,7600
-11.875,15.125,Des_Line,POINT (-11.875 15.125),53,4525696.0,Africa,Mauritania,MRT,7600
-11.625,15.125,Des_Line,POINT (-11.625 15.125),52,19658031.0,Africa,Mali,MLI,17279
-11.375,15.125,Des_Line,POINT (-11.375 15.125),52,19658031.0,Africa,Mali,MLI,17279
-11.125,15.125,Des_Line,POINT (-11.125 15.125),52,19658031.0,Africa,Mali,MLI,17279
-10.875,15.125,Des_Line,POINT (-10.875 15.125),52,19658031.0,Africa,Mali,MLI,17279
-10.625,15.125,Des_Line,POINT (-10.625 15.125),52,19658031.0,Africa,Mali,MLI,17279
-10.375,15.125,Des_Line,POINT (-10.375 15.125),52,19658031.0,Africa,Mali,MLI,17279
-10.125,15.125,Des_Line,POINT (-10.125 15.125),52,19658031.0,Africa,Mali,MLI,17279
-9.875,15.125,Des_Line,POINT (-9.875 15.125),52,19658031.0,Africa,Mali,MLI,17279
-9.625,15.125,Des_Line,POINT (-9.625 15.125),52,19658031.0,Africa,Mali,MLI,17279
-9.375,15.125,Des_Line,POINT (-9.375 15.125),52,19658031.0,Africa,Mali,MLI,17279
-9.125,14.875,Des_Line,POINT (-9.125 14.875),52,19658031.0,Africa,Mali,MLI,17279
-8.875,14.875,Des_Line,POINT (-8.875 14.875),52,19658031.0,Africa,Mali,MLI,17279
-8.625,14.875,Des_Line,POINT (-8.625 14.875),52,19658031.0,Africa,Mali,MLI,17279
20.875,14.875,Des_Line,POINT (20.875 14.875),15,15946876.0,Africa,Chad,TCD,11314
21.125,14.875,Des_Line,POINT (21.125 14.875),15,15946876.0,Africa,Chad,TCD,11314
21.375,14.875,Des_Line,POINT (21.375 14.875),15,15946876.0,Africa,Chad,TCD,11314
21.625,14.875,Des_Line,POINT (21.625 14.875),15,15946876.0,Africa,Chad,TCD,11314
21.875,14.875,Des_Line,POINT (21.875 14.875),15,15946876.0,Africa,Chad,TCD,11314
22.125,14.875,Des_Line,POINT (22.125 14.875),15,15946876.0,Africa,Chad,TCD,11314
22.375,14.875,Des_Line,POINT (22.375 14.875),15,15946876.0,Africa,Chad,TCD,11314
37.875,14.875,Des_Line,POINT (37.875 14.875),165,112078730.0,Africa,Ethiopia,ETH,95912
-8.375,14.625,Des_Line,POINT (-8.375 14.625),52,19658031.0,Africa,Mali,MLI,17279
-8.125,14.625,Des_Line,POINT (-8.125 14.625),52,19658031.0,Africa,Mali,MLI,17279
-5.625,14.625,Des_Line,POINT (-5.625 14.625),52,19658031.0,Africa,Mali,MLI,17279
-1.875,14.625,Des_Line,POINT (-1.875 14.625),52,19658031.0,Africa,Mali,MLI,17279
-1.625,14.625,Des_Line,POINT (-1.625 14.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-1.375,14.625,Des_Line,POINT (-1.375 14.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-1.125,14.625,Des_Line,POINT (-1.125 14.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-0.875,14.625,Des_Line,POINT (-0.875 14.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-0.625,14.625,Des_Line,POINT (-0.625 14.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-0.375,14.625,Des_Line,POINT (-0.375 14.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-0.125,14.625,Des_Line,POINT (-0.125 14.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
0.125,14.625,Des_Line,POINT (0.125 14.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
20.125,14.625,Des_Line,POINT (20.125 14.625),15,15946876.0,Africa,Chad,TCD,11314
20.375,14.625,Des_Line,POINT (20.375 14.625),15,15946876.0,Africa,Chad,TCD,11314
20.625,14.625,Des_Line,POINT (20.625 14.625),15,15946876.0,Africa,Chad,TCD,11314
22.375,14.625,Des_Line,POINT (22.375 14.625),15,15946876.0,Africa,Chad,TCD,11314
22.625,14.625,Des_Line,POINT (22.625 14.625),14,42813238.0,Africa,Sudan,SDN,30513
37.875,14.625,Des_Line,POINT (37.875 14.625),165,112078730.0,Africa,Ethiopia,ETH,95912
-7.875,14.375,Des_Line,POINT (-7.875 14.375),52,19658031.0,Africa,Mali,MLI,17279
-7.625,14.375,Des_Line,POINT (-7.625 14.375),52,19658031.0,Africa,Mali,MLI,17279
-7.375,14.375,Des_Line,POINT (-7.375 14.375),52,19658031.0,Africa,Mali,MLI,17279
-7.125,14.375,Des_Line,POINT (-7.125 14.375),52,19658031.0,Africa,Mali,MLI,17279
-6.875,14.375,Des_Line,POINT (-6.875 14.375),52,19658031.0,Africa,Mali,MLI,17279
-6.625,14.375,Des_Line,POINT (-6.625 14.375),52,19658031.0,Africa,Mali,MLI,17279
-6.375,14.375,Des_Line,POINT (-6.375 14.375),52,19658031.0,Africa,Mali,MLI,17279
-6.125,14.375,Des_Line,POINT (-6.125 14.375),52,19658031.0,Africa,Mali,MLI,17279
-5.875,14.375,Des_Line,POINT (-5.875 14.375),52,19658031.0,Africa,Mali,MLI,17279
-5.375,14.375,Des_Line,POINT (-5.375 14.375),52,19658031.0,Africa,Mali,MLI,17279
-5.125,14.375,Des_Line,POINT (-5.125 14.375),52,19658031.0,Africa,Mali,MLI,17279
-4.875,14.375,Des_Line,POINT (-4.875 14.375),52,19658031.0,Africa,Mali,MLI,17279
-4.625,14.375,Des_Line,POINT (-4.625 14.375),52,19658031.0,Africa,Mali,MLI,17279
